user_id,session_id,timestamp,channel,page_url
U00001,SU00001_1,2024-05-01 10:00:00,Google Ads,/about
U00001,SU00001_2,2024-05-02 06:00:00,Organic Search,/product
U00001,SU00001_3,2024-05-03 11:00:00,Email,/promo
U00002,SU00002_1,2024-05-01 11:00:00,Email,/about
U00002,SU00002_2,2024-05-02 13:00:00,Direct,/product
U00002,SU00002_3,2024-05-05 04:00:00,Google Ads,/product
U00003,SU00003_1,2024-05-01 09:00:00,Email,/checkout
U00003,SU00003_2,2024-05-03 09:00:00,Email,/about
U00003,SU00003_3,2024-05-03 16:00:00,Email,/promo
U00003,SU00003_4,2024-05-02 13:00:00,Direct,/checkout
U00004,SU00004_1,2024-05-01 10:00:00,Direct,/about
U00004,SU00004_2,2024-05-01 15:00:00,Google Ads,/product
U00004,SU00004_3,2024-05-04 20:00:00,Facebook,/checkout
U00004,SU00004_4,2024-05-02 03:00:00,Facebook,/checkout
U00004,SU00004_5,2024-05-06 11:00:00,Direct,/landing-page
U00005,SU00005_1,2024-05-01 10:00:00,Organic Search,/about
U00005,SU00005_2,2024-05-02 00:00:00,Google Ads,/promo
U00005,SU00005_3,2024-05-04 05:00:00,Direct,/landing-page
U00005,SU00005_4,2024-05-06 15:00:00,Direct,/checkout
U00006,SU00006_1,2024-05-01 13:00:00,Google Ads,/landing-page
U00006,SU00006_2,2024-05-02 12:00:00,Email,/landing-page
U00007,SU00007_1,2024-05-01 10:00:00,Direct,/product
U00007,SU00007_2,2024-05-01 22:00:00,Direct,/product
U00008,SU00008_1,2024-05-01 11:00:00,Organic Search,/about
U00008,SU00008_2,2024-05-03 07:00:00,Facebook,/checkout
U00008,SU00008_3,2024-05-03 20:00:00,Email,/product
U00009,SU00009_1,2024-05-01 10:00:00,Google Ads,/landing-page
U00009,SU00009_2,2024-05-02 01:00:00,Google Ads,/promo
U00009,SU00009_3,2024-05-01 21:00:00,Organic Search,/about
U00010,SU00010_1,2024-05-01 11:00:00,Email,/landing-page
U00010,SU00010_2,2024-05-01 18:00:00,Organic Search,/about
U00010,SU00010_3,2024-05-03 17:00:00,Google Ads,/landing-page
